FL_DATE,sum(DEP_DELAY),sum(CARRIER_DELAY),sum(WEATHER_DELAY),sum(NAS_DELAY),sum(SECURITY_DELAY),sum(LATE_AIRCRAFT_DELAY)
2018-11-01,225566.0,122392.0,8494.0,74438.0,1160.0,133442.0
2018-07-16,769438.0,212846.0,48684.0,258626.0,510.0,362420.0
2018-11-30,143406.0,102574.0,18796.0,71942.0,270.0,101374.0
2018-07-04,193956.0,96132.0,24588.0,88880.0,374.0,119994.0
2016-01-13,182576.0,93466.0,11176.0,50152.0,184.0,89366.0
2016-03-19,261950.0,95222.0,7906.0,69466.0,546.0,122142.0
2018-10-19,368504.0,155418.0,11966.0,95620.0,1822.0,183386.0
2016-03-13,293816.0,101234.0,5776.0,72722.0,504.0,143764.0
2018-05-24,337548.0,143654.0,12482.0,80926.0,1296.0,160296.0
2018-10-05,325368.0,140242.0,20660.0,105178.0,580.0,170078.0
2016-01-25,213244.0,103884.0,10720.0,40884.0,658.0,85938.0
2018-07-15,784572.0,196146.0,39682.0,241244.0,302.0,363834.0
2018-05-30,566988.0,162334.0,36876.0,204400.0,5100.0,239466.0
2018-10-27,147468.0,87440.0,6660.0,73982.0,352.0,82340.0
2018-11-28,291340.0,110152.0,12278.0,156640.0,216.0,144926.0
2018-07-13,317040.0,162686.0,9760.0,62980.0,398.0,159776.0
2018-10-28,170112.0,113220.0,2652.0,42096.0,208.0,98450.0
2018-07-31,792874.0,221326.0,92424.0,188222.0,560.0,381678.0
2018-05-08,108224.0,95454.0,3514.0,28774.0,714.0,85744.0
2016-12-27,415732.0,152238.0,11628.0,58332.0,808.0,173196.0
2016-03-01,283332.0,88582.0,30080.0,117492.0,0.0,124054.0
2016-01-15,313720.0,124432.0,15408.0,64846.0,878.0,142726.0
2018-05-07,124412.0,100638.0,3008.0,27814.0,266.0,91720.0
2016-12-19,575752.0,205882.0,11346.0,60520.0,942.0,238502.0
2018-11-03,66678.0,86712.0,7922.0,29592.0,746.0,55810.0
2018-05-11,316934.0,151792.0,8226.0,43818.0,858.0,152812.0
2018-10-08,545008.0,156830.0,39294.0,179820.0,332.0,276788.0
2018-10-18,294222.0,136316.0,7726.0,93862.0,260.0,148962.0
2018-10-20,110530.0,81086.0,8674.0,52250.0,412.0,64462.0
2018-07-25,747868.0,203430.0,52206.0,244472.0,438.0,344166.0
2018-11-14,257380.0,122964.0,9056.0,103690.0,252.0,123758.0
2016-03-20,190600.0,90896.0,1890.0,48326.0,316.0,86190.0
2016-12-17,1542318.0,416370.0,211992.0,264948.0,1074.0,720982.0
2018-05-14,874364.0,200550.0,92626.0,252582.0,470.0,403624.0
2016-03-10,363940.0,123174.0,4404.0,130534.0,84.0,169632.0
2018-07-12,532896.0,155598.0,89490.0,152908.0,442.0,260104.0
2016-01-02,270146.0,118106.0,2816.0,31974.0,1164.0,98172.0
2018-05-05,97444.0,98216.0,1026.0,22568.0,154.0,64106.0
2016-03-07,160960.0,93250.0,4552.0,40878.0,236.0,94146.0
2018-05-12,174296.0,92662.0,14274.0,58186.0,280.0,89408.0
2018-10-14,372942.0,159354.0,20232.0,98680.0,122.0,204038.0
2016-01-26,85984.0,70892.0,3038.0,30796.0,62.0,51932.0
2018-07-19,573542.0,166718.0,13718.0,175324.0,538.0,305260.0
2016-03-16,172880.0,82258.0,3256.0,42842.0,480.0,86702.0
2016-12-18,1188094.0,397890.0,39326.0,136774.0,1270.0,553918.0
2018-11-20,433384.0,137228.0,38332.0,98254.0,318.0,210492.0
2016-03-26,360180.0,100750.0,23630.0,126018.0,278.0,175160.0
2016-12-13,139662.0,86006.0,8086.0,66404.0,0.0,76258.0
2018-07-18,390876.0,161826.0,13110.0,58956.0,508.0,189972.0
2018-10-11,759184.0,176428.0,47268.0,293786.0,1016.0,380138.0
2018-11-25,544034.0,174488.0,81546.0,153940.0,460.0,223832.0
2018-11-19,166534.0,99850.0,3500.0,53286.0,378.0,96488.0
2016-01-22,364780.0,103398.0,54190.0,143078.0,56.0,135572.0
